1 00:00.0	11599,CLOSED
2 00:00.0	256,PENDING_PAYMENT
3 00:00.0	12111,COMPLETE
4 00:00.0	8827,CLOSED
5 00:00.0	11318,COMPLETE
6 00:00.0	7130,COMPLETE
7 00:00.0	4530,COMPLETE
8 00:00.0	2911,PROCESSING
9 00:00.0	5657,PENDING_PAYMENT
10 00:00.0	5648,PENDING_PAYMENT
11 00:00.0	918,PAYMENT_REVIEW
12 00:00.0	1837,CLOSED
13 00:00.0	9149,PENDING_PAYMENT
14 00:00.0	9842,PROCESSING
15 00:00.0	2568,COMPLETE
16 00:00.0	7276,PENDING_PAYMENT
17 00:00.0	2667,COMPLETE
18 00:00.0	1205,CLOSED
19 00:00.0	9488,PENDING_PAYMENT
20 00:00.0	9198,PROCESSING
