order_id,order_date,order_customer_id,order_status
1,30:59.8,11599,CLOSED
2,31:00.0,256,PENDING_PAYMENT
3,31:00.2,12111,COMPLETE
4,31:00.4,8827,CLOSED
5,31:00.6,11318,COMPLETE
6,31:00.9,7130,COMPLETE
7,31:01.1,4530,COMPLETE
8,31:01.3,2911,PROCESSING
9,31:01.5,5657,PENDING_PAYMENT
10,31:01.7,5648,PENDING_PAYMENT
11,31:01.9,918,PAYMENT_REVIEW
12,31:01.7,1837,CLOSED
13,31:02.1,9149,PENDING_PAYMENT
14,31:02.4,9842,PROCESSING
15,31:02.6,2568,COMPLETE
16,31:02.1,7276,PENDING_PAYMENT
17,31:02.1,2667,COMPLETE
18,31:02.1,1205,CLOSED
19,31:02.1,9488,PENDING_PAYMENT
20,31:02.1,9198,PROCESSING
21,31:02.1,2711,PENDING
22,31:02.1,333,COMPLETE
23,31:02.1,4367,PENDING_PAYMENT
24,31:02.1,11441,CLOSED
25,31:02.1,9503,CLOSED
26,31:02.1,7562,COMPLETE
27,31:02.1,3241,PENDING_PAYMENT
28,31:02.1,656,COMPLETE
29,31:02.1,196,PROCESSING
30,31:02.1,10039,PENDING_PAYMENT
31,31:02.1,6983,PAYMENT_REVIEW
32,31:02.1,3960,COMPLETE
33,31:02.1,5793,PENDING_PAYMENT
34,31:02.1,4189,PROCESSING
35,31:02.1,4840,COMPLETE
36,31:02.1,5649,PENDING
37,31:02.1,5863,CLOSED
38,31:02.1,11586,PROCESSING
39,31:02.1,8214,PENDING
40,31:02.1,12092,PENDING_PAYMENT
41,31:02.1,8136,PENDING_PAYMENT
42,31:02.1,9776,PENDING
43,31:02.1,7776,PENDING_PAYMENT
44,31:02.1,10500,PENDING
45,31:02.1,2636,COMPLETE
46,31:02.1,1549,ON_HOLD
47,31:02.1,8487,PENDING_PAYMENT
48,31:02.1,12186,PROCESSING
49,31:02.1,1871,PENDING
50,31:02.1,5225,CANCELED
51,31:02.1,12271,CLOSED
52,31:02.1,5126,PENDING_PAYMENT
53,31:02.1,4701,PROCESSING
54,31:02.1,10628,PENDING_PAYMENT
55,31:02.1,2052,PENDING
56,31:02.1,10519,COMPLETE
57,31:02.1,7073,CLOSED
58,31:02.1,9213,PENDING_PAYMENT
59,31:02.1,11644,PENDING_PAYMENT
60,31:02.1,8365,PENDING_PAYMENT
61,31:02.1,4791,CLOSED
62,31:02.1,9111,CLOSED
63,31:02.1,1148,COMPLETE
64,31:02.1,5579,PENDING_PAYMENT
65,31:02.1,5903,COMPLETE
66,31:02.1,1792,ON_HOLD
67,31:02.1,1406,COMPLETE
68,31:02.1,4320,PENDING
69,31:02.1,2821,SUSPECTED_FRAUD
70,31:02.1,11809,PENDING_PAYMENT
71,31:02.1,8646,COMPLETE
72,31:02.1,4349,COMPLETE
73,31:02.1,8504,PENDING_PAYMENT
74,31:02.1,662,PENDING_PAYMENT
75,31:02.1,2505,PENDING_PAYMENT
76,31:02.1,6898,COMPLETE
77,31:02.1,7915,PENDING_PAYMENT
78,31:02.1,8619,PAYMENT_REVIEW
79,31:02.1,7327,PENDING_PAYMENT
80,31:02.1,3007,COMPLETE
81,31:02.1,674,PROCESSING
82,31:02.1,3566,PENDING_PAYMENT
83,31:02.1,1265,COMPLETE
84,31:02.1,6789,PROCESSING
85,31:02.1,1485,PENDING
86,31:02.1,6680,PENDING_PAYMENT
87,31:02.1,3065,CLOSED
88,31:02.1,3809,COMPLETE
89,31:02.1,824,ON_HOLD
90,31:02.1,9131,CLOSED
91,31:02.1,8912,COMPLETE
92,31:02.1,6932,COMPLETE
93,31:02.1,2256,PENDING_PAYMENT
94,31:02.1,11589,PROCESSING
95,31:02.1,9032,COMPLETE
96,31:02.1,8683,PENDING
97,31:02.1,10784,PENDING
98,31:02.1,5243,COMPLETE
99,31:02.1,11542,PENDING_PAYMENT
100,31:02.1,12131,PROCESSING
101,31:02.1,5116,CLOSED
102,31:02.1,8027,COMPLETE
103,31:02.1,12256,PROCESSING
104,31:02.1,7790,PENDING_PAYMENT
105,31:02.1,8220,COMPLETE
106,31:02.1,395,PROCESSING
107,31:02.1,1845,COMPLETE
108,31:02.1,12149,PROCESSING
109,31:02.1,9345,PENDING_PAYMENT
110,31:02.1,2746,COMPLETE
111,31:02.1,4271,PROCESSING
112,31:02.1,5375,CANCELED
113,31:02.1,10216,PENDING_PAYMENT
114,31:02.1,2091,COMPLETE
115,31:02.1,104,PROCESSING
116,31:02.1,8763,CLOSED
117,31:02.1,58,SUSPECTED_FRAUD
118,31:02.1,1737,COMPLETE
119,31:02.1,8124,PENDING_PAYMENT
120,31:02.1,356,PENDING_PAYMENT
121,31:02.1,2074,PENDING
122,31:02.1,2071,PROCESSING
123,31:02.1,3695,PENDING_PAYMENT
124,31:02.1,2374,COMPLETE
125,31:02.1,4611,PENDING_PAYMENT
126,31:02.1,610,COMPLETE
127,31:02.1,5261,PENDING_PAYMENT
128,31:02.1,2772,PENDING_PAYMENT
129,31:02.1,9937,CLOSED
130,31:02.1,7509,PENDING_PAYMENT
131,31:02.1,10072,PROCESSING
132,31:02.1,289,PENDING
133,31:02.1,10604,CLOSED
134,31:02.1,12081,PENDING_PAYMENT
135,31:02.1,7738,COMPLETE
136,31:02.1,9126,PENDING_PAYMENT
137,31:02.1,4211,COMPLETE
138,31:02.1,10904,PROCESSING
139,31:02.1,7933,COMPLETE
140,31:02.1,4257,PENDING_PAYMENT
141,31:02.1,12128,COMPLETE
142,31:02.1,5760,PENDING_PAYMENT
143,31:02.1,10495,COMPLETE
144,31:02.1,2158,PROCESSING
145,31:02.1,494,ON_HOLD
146,31:02.1,8177,COMPLETE
147,31:02.1,275,PENDING_PAYMENT
148,31:02.1,5383,PROCESSING
149,31:02.1,11431,COMPLETE
150,31:02.1,236,PROCESSING
151,31:02.1,2493,ON_HOLD
152,31:02.1,3611,COMPLETE
153,31:02.1,8876,COMPLETE
154,31:02.1,9993,ON_HOLD
155,31:02.1,9044,PENDING_PAYMENT
156,31:02.1,5200,ON_HOLD
157,31:02.1,8986,ON_HOLD
158,31:02.1,12345,PENDING
159,31:02.1,10974,PENDING_PAYMENT
160,31:02.1,6762,COMPLETE
161,31:02.1,4513,PENDING_PAYMENT
162,31:02.1,3304,PENDING_PAYMENT
163,31:02.1,3348,COMPLETE
164,31:02.1,2962,PROCESSING
165,31:02.1,1222,PENDING_PAYMENT
166,31:02.1,7834,PROCESSING
167,31:02.1,1347,PENDING
168,31:02.1,11794,PENDING_PAYMENT
169,31:02.1,2611,ON_HOLD
170,31:02.1,6295,PAYMENT_REVIEW
171,31:02.1,1980,COMPLETE
172,31:02.1,11382,COMPLETE
173,31:02.1,9027,ON_HOLD
174,31:02.1,3358,COMPLETE
175,31:02.1,384,COMPLETE
176,31:02.1,2897,PENDING_PAYMENT
177,31:02.1,9151,PENDING_PAYMENT
178,31:02.1,8503,COMPLETE
179,31:02.1,6506,COMPLETE
180,31:02.1,10215,ON_HOLD
181,31:02.1,7473,PENDING
182,31:02.1,10984,COMPLETE
183,31:02.1,12105,COMPLETE
184,31:02.1,210,COMPLETE
185,31:02.1,10966,PENDING_PAYMENT
186,31:02.1,1104,COMPLETE
187,31:02.1,1378,PAYMENT_REVIEW
188,31:02.1,2889,PENDING
189,31:02.1,10177,PENDING
190,31:02.1,11115,PENDING
191,31:02.1,16,CLOSED
192,31:02.1,5293,PROCESSING
193,31:02.1,6174,PROCESSING
194,31:02.1,2550,PENDING_PAYMENT
195,31:02.1,12096,PROCESSING
196,31:02.1,2765,PROCESSING
197,31:02.1,6370,PROCESSING
198,31:02.1,7436,PENDING_PAYMENT
199,31:02.1,4608,ON_HOLD
200,31:02.1,11116,PAYMENT_REVIEW
201,31:02.1,9055,CLOSED
202,31:02.1,8524,PENDING_PAYMENT
203,31:02.1,11791,PENDING_PAYMENT
204,31:02.1,7604,PENDING_PAYMENT
205,31:02.1,3109,PROCESSING
206,31:02.1,8994,PENDING
207,31:02.1,11643,COMPLETE
208,31:02.1,7923,PROCESSING
209,31:02.1,3627,PENDING
210,31:02.1,10102,COMPLETE
211,31:02.1,10372,CLOSED
212,31:02.1,3190,PENDING
213,31:02.1,11715,CLOSED
214,31:02.1,3925,COMPLETE
215,31:02.1,5925,CLOSED
216,31:02.1,7282,PENDING
217,31:02.1,5420,PROCESSING
218,31:02.1,3935,COMPLETE
219,31:02.1,10655,PROCESSING
220,31:02.1,1383,COMPLETE
221,31:02.1,11871,CLOSED
222,31:02.1,8309,CLOSED
223,31:02.1,9068,PENDING
224,31:02.1,11938,CLOSED
225,31:02.1,11275,COMPLETE
226,31:02.1,9356,PENDING_PAYMENT
227,31:02.1,7410,CLOSED
228,31:02.1,6070,ON_HOLD
229,31:02.1,618,PENDING
230,31:02.1,4921,PENDING_PAYMENT
231,31:02.1,3960,COMPLETE
232,31:02.1,1780,PENDING_PAYMENT
233,31:02.1,12316,COMPLETE
234,31:02.1,1010,ON_HOLD
235,31:02.1,4285,PENDING_PAYMENT
236,31:02.1,9785,COMPLETE
237,31:02.1,11438,PENDING_PAYMENT
238,31:02.1,4939,PENDING_PAYMENT
239,31:02.1,5058,COMPLETE
240,31:02.1,32,PENDING
241,31:02.1,948,CLOSED
242,31:02.1,3237,PAYMENT_REVIEW
243,31:02.1,32,ON_HOLD
244,31:02.1,6910,PENDING_PAYMENT
245,31:02.1,5191,CLOSED
246,31:02.1,9616,SUSPECTED_FRAUD
247,31:02.1,173,COMPLETE
248,31:02.1,11707,COMPLETE
249,31:02.1,7650,CLOSED
250,31:02.1,11668,COMPLETE
251,31:02.1,568,PENDING
252,31:02.1,9708,COMPLETE
253,31:02.1,45,COMPLETE
254,31:02.1,9395,COMPLETE
255,31:02.1,10346,COMPLETE
256,31:02.1,4199,CLOSED
257,31:02.1,3273,PROCESSING
258,31:02.1,1137,COMPLETE
259,31:02.1,3454,COMPLETE
260,31:02.1,5135,CLOSED
261,31:02.1,5128,COMPLETE
262,31:02.1,11475,CLOSED
263,31:02.1,8026,COMPLETE
264,31:02.1,230,COMPLETE
265,31:02.1,488,PENDING_PAYMENT
266,31:02.1,11085,COMPLETE
267,31:02.1,6989,CLOSED
268,31:02.1,5578,CLOSED
269,31:02.1,11887,PROCESSING
270,31:02.1,5689,COMPLETE
271,31:02.1,815,COMPLETE
272,31:02.1,428,CLOSED
273,31:02.1,10665,PENDING_PAYMENT
274,31:02.1,3365,PENDING
275,31:02.1,10942,PENDING_PAYMENT
276,31:02.1,2221,PENDING_PAYMENT
277,31:02.1,3732,PENDING
278,31:02.1,488,PAYMENT_REVIEW
279,31:02.1,10372,COMPLETE
280,31:02.1,11836,PENDING
281,31:02.1,827,PENDING_PAYMENT
282,31:02.1,3551,PENDING_PAYMENT
283,31:02.1,11466,COMPLETE
284,31:02.1,861,PROCESSING
285,31:02.1,5011,CLOSED
286,31:02.1,9824,ON_HOLD
287,31:02.1,8122,COMPLETE
288,31:02.1,8667,COMPLETE
289,31:02.1,1195,PENDING_PAYMENT
290,31:02.1,6446,COMPLETE
291,31:02.1,5506,PROCESSING
292,31:02.1,11971,PENDING_PAYMENT
293,31:02.1,4731,PROCESSING
294,31:02.1,11394,CLOSED
295,31:02.1,1937,PENDING
296,31:02.1,6665,COMPLETE
297,31:02.1,2281,PENDING
298,31:02.1,4967,COMPLETE
299,31:02.1,9202,PENDING_PAYMENT
300,31:02.1,11326,CLOSED
301,31:02.1,11999,COMPLETE
302,31:02.1,3577,COMPLETE
303,31:02.1,1682,PENDING_PAYMENT
304,31:02.1,1869,COMPLETE
305,31:02.1,5618,ON_HOLD
306,31:02.1,137,COMPLETE
307,31:02.1,8818,PENDING
308,31:02.1,6829,PENDING_PAYMENT
309,31:02.1,10396,COMPLETE
310,31:02.1,1256,COMPLETE
311,31:02.1,410,COMPLETE
312,31:02.1,1122,COMPLETE
313,31:02.1,7543,CLOSED
314,31:02.1,10033,PENDING_PAYMENT
315,31:02.1,4375,PENDING_PAYMENT
316,31:02.1,3870,PROCESSING
317,31:02.1,1450,COMPLETE
318,31:02.1,8829,PENDING_PAYMENT
319,31:02.1,10445,COMPLETE
320,31:02.1,10698,SUSPECTED_FRAUD
321,31:02.1,4282,ON_HOLD
322,31:02.1,2864,COMPLETE
323,31:02.1,3020,PENDING_PAYMENT
324,31:02.1,76,COMPLETE
325,31:02.1,4759,PENDING
326,31:02.1,1604,PENDING_PAYMENT
327,31:02.1,12107,PENDING
328,31:02.1,1149,COMPLETE
329,31:02.1,1944,SUSPECTED_FRAUD
330,31:02.1,5175,COMPLETE
331,31:02.1,4797,PENDING_PAYMENT
332,31:02.1,4171,COMPLETE
333,31:02.1,2071,PENDING_PAYMENT
334,31:02.1,3752,PENDING_PAYMENT
335,31:02.1,7710,PENDING
336,31:02.1,5479,PENDING
337,31:02.1,6747,COMPLETE
338,31:02.1,4666,COMPLETE
339,31:02.1,8326,PENDING
340,31:02.1,7995,PENDING_PAYMENT
341,31:02.1,10128,CLOSED
